time,coord_x,coord_y
27.90134,0.4487,0.467805
27.91523,0.450724,0.466933
27.92916,0.452628,0.466038
27.943,0.454341,0.465142
27.9569,0.455905,0.46428
27.97089,0.457278,0.463566
27.98479,0.458481,0.463032
27.99883,0.459656,0.462589
28.0126,0.46078,0.462186
28.0265,0.461895,0.461797
28.04052,0.463011,0.461436
28.05449,0.464139,0.461137
28.06844,0.465254,0.460924
28.08229,0.466415,0.460753
28.09612,0.467669,0.460568
28.11019,0.469039,0.460337
28.124,0.470425,0.460086
28.13802,0.471838,0.459846
28.15182,0.473278,0.459664
28.16586,0.474738,0.459575
28.17964,0.476177,0.459549
28.19356,0.477637,0.459563
28.20755,0.479236,0.459678
28.22145,0.480939,0.459889
28.23544,0.482868,0.460205
28.24938,0.484888,0.460604
28.26333,0.486937,0.461052
28.27718,0.489056,0.461545
28.29107,0.491254,0.462083
28.30498,0.493531,0.462702
28.31891,0.495788,0.463401
28.3329,0.498042,0.464168
28.34675,0.50019,0.464937
28.3608,0.50235,0.465707
28.37457,0.504472,0.466436
28.38853,0.506596,0.467112
28.40251,0.508674,0.467752
28.41642,0.510636,0.468342
28.43048,0.512572,0.468908
28.44419,0.514411,0.469449
28.45816,0.516276,0.469992
28.47226,0.518068,0.470516
28.48594,0.519709,0.470968
28.49994,0.521282,0.471361
28.51385,0.522781,0.47175
28.52779,0.524248,0.472184
28.54169,0.525625,0.472622
28.55567,0.526901,0.473071
28.56955,0.528078,0.473488
28.58345,0.529124,0.473883
28.59738,0.530127,0.474298
28.61125,0.531079,0.474733
28.62527,0.531972,0.475205
28.63914,0.532758,0.475659
28.65322,0.533424,0.476077
28.66708,0.533954,0.476422
28.68107,0.5344,0.476737
28.69477,0.534813,0.477051
28.70869,0.53521,0.477404
28.72264,0.535626,0.4778
28.73672,0.536014,0.478199
28.75047,0.536356,0.478558
28.76451,0.536655,0.478865
28.77842,0.536914,0.479131
28.79226,0.537124,0.479338
28.80649,0.537315,0.479527
28.82013,0.537481,0.479702
28.834,0.53763,0.479874
28.84801,0.537762,0.480052
28.86184,0.537857,0.480231
28.87584,0.537919,0.480412
28.88988,0.537926,0.480599
28.90359,0.537871,0.480784
28.9175,0.537769,0.480969
28.93169,0.537636,0.481151
28.94535,0.537448,0.48136
28.95926,0.537137,0.481642
28.97332,0.536609,0.48204
28.98731,0.535866,0.482562
29.00104,0.534934,0.483187
29.01498,0.533822,0.483915
29.02902,0.532637,0.484668
29.04293,0.531425,0.485446
29.05692,0.530172,0.486268
29.0708,0.528857,0.487131
29.08469,0.527514,0.487991
29.09862,0.526102,0.488819
29.11249,0.524728,0.489595
29.1265,0.523369,0.490391
29.1404,0.522028,0.491276
29.15422,0.52072,0.4922
29.16821,0.519429,0.4931
29.18211,0.518233,0.493856
29.19597,0.516982,0.494539
29.21004,0.515707,0.495179
29.22397,0.514419,0.49589
29.23786,0.513171,0.496683
29.25178,0.511949,0.497534
29.26561,0.510769,0.498354
29.27956,0.509594,0.499158
29.29364,0.50842,0.499964
29.30743,0.507297,0.500805
29.32145,0.506207,0.501682
29.33519,0.505248,0.502514
29.34917,0.504315,0.503325
29.36308,0.503431,0.504064
29.37706,0.502536,0.504788
29.39096,0.501653,0.505506
29.40481,0.50075,0.506286
29.41891,0.49981,0.507135
29.43273,0.498896,0.508003
29.44695,0.49799,0.50885
29.46045,0.497114,0.509653
29.4746,0.49616,0.510557
29.48829,0.495131,0.511638
29.50249,0.49393,0.513031
29.51613,0.492684,0.514532
29.53035,0.491256,0.516279
29.54408,0.489756,0.518163
29.55805,0.488061,0.520477
29.5719,0.486252,0.523283
29.586,0.484244,0.526689
29.59971,0.482203,0.530221
29.61375,0.480056,0.5338
29.62756,0.477831,0.537207
29.64152,0.475415,0.540765
29.6555,0.472833,0.544626
29.66933,0.470172,0.548703
29.68337,0.467484,0.552948
29.69718,0.464966,0.557043
29.71125,0.462513,0.561018
29.72499,0.460297,0.564615
29.73914,0.458148,0.567962
29.75288,0.456192,0.570961
29.76669,0.454289,0.573804
29.78065,0.452437,0.576533
29.79465,0.450642,0.579158
29.80856,0.448964,0.581453
29.82246,0.447456,0.583393
29.83646,0.446016,0.58504
29.85036,0.44468,0.586428
29.86433,0.443344,0.587654
29.87829,0.442136,0.588702
29.89223,0.441017,0.589616
29.90615,0.440015,0.590404
29.91996,0.439055,0.591127
29.93393,0.438102,0.59179
29.94785,0.43719,0.59239
29.96171,0.436324,0.592936
29.97573,0.435529,0.593439
29.98965,0.434799,0.593891
30.00353,0.434118,0.59431
30.01746,0.433452,0.594718
30.03151,0.432771,0.595155
30.04552,0.432094,0.595624
30.05929,0.431513,0.596073
30.0732,0.431023,0.596471
30.08698,0.430645,0.596801
30.1009,0.430307,0.597118
30.11488,0.429995,0.597453
30.12879,0.42969,0.597831
30.1427,0.42942,0.598226
30.15667,0.429206,0.598606
30.17056,0.429046,0.598947
30.18455,0.428944,0.599246
30.19849,0.428883,0.599502
30.21233,0.428859,0.599736
30.22626,0.428867,0.599971
30.24019,0.428916,0.600214
30.25408,0.429017,0.600452
30.2681,0.429166,0.600677
30.28194,0.429379,0.600913
30.29592,0.429661,0.601181
30.30981,0.430024,0.601497
30.32379,0.430468,0.601855
30.33774,0.431014,0.602226
30.35184,0.431613,0.602593
30.36545,0.432273,0.602935
30.37941,0.432999,0.603279
30.39342,0.433807,0.603647
30.40734,0.434635,0.604065
30.42115,0.435486,0.604525
30.43521,0.436395,0.605021
30.44902,0.437303,0.605476
30.46306,0.438238,0.605905
30.47684,0.439131,0.606266
30.49083,0.439985,0.606573
30.50475,0.440783,0.60687
30.51866,0.441577,0.607151
30.53258,0.44242,0.607456
30.54669,0.443261,0.607738
30.56049,0.444071,0.60798
30.5745,0.44491,0.608191
30.5881,0.445771,0.608405
30.60221,0.446781,0.608655
30.6161,0.447866,0.608927
30.6301,0.449067,0.609217
30.64397,0.450334,0.6095
30.65809,0.451673,0.609823
30.67171,0.453068,0.6102
30.68575,0.454611,0.610635
30.69952,0.456229,0.611064
30.71343,0.45793,0.611452
30.72745,0.459691,0.611796
30.74129,0.461405,0.612121
30.75518,0.463079,0.612518
30.76927,0.464745,0.612997
30.78307,0.466406,0.613549
30.79701,0.468107,0.614181
30.81113,0.469824,0.614854
30.82485,0.471579,0.615537
30.83881,0.473467,0.616297
30.85285,0.475495,0.617168
30.86652,0.477509,0.61808
30.8805,0.479584,0.61904
30.89456,0.481695,0.619983
30.90837,0.483776,0.620889
30.92233,0.485896,0.62181
30.93625,0.487977,0.62274
30.9502,0.490048,0.623659
30.96405,0.492007,0.62451
30.97804,0.493875,0.625263
30.99203,0.495629,0.625927
31.0059,0.497262,0.626464
31.01978,0.498779,0.626908
31.03353,0.500145,0.627282
31.04763,0.501433,0.627661
31.06149,0.50259,0.62803
31.07564,0.503742,0.62841
31.08925,0.504888,0.628769
31.10334,0.506106,0.629111
31.11724,0.507301,0.629409
31.1313,0.508521,0.629687
31.14511,0.509707,0.629956
31.15891,0.510957,0.630232
31.17318,0.512276,0.630527
31.18683,0.513609,0.630784
31.20075,0.514979,0.63102
31.21468,0.516306,0.631192
31.22856,0.517607,0.631333
31.24266,0.518913,0.631478
31.25637,0.520199,0.631628
31.27045,0.521493,0.631811
31.28441,0.522797,0.631987
31.29823,0.524071,0.63216
31.31231,0.525423,0.632293
31.32601,0.526732,0.632405
31.34017,0.528075,0.632471
31.3539,0.529347,0.632498
31.36782,0.53064,0.632482
31.38185,0.53196,0.632414
31.39562,0.533267,0.632295
31.40973,0.534621,0.632106
31.4236,0.535983,0.631837
31.43769,0.53743,0.631492
31.45132,0.538848,0.631112
31.46542,0.540291,0.630712
31.47923,0.54168,0.630345
31.49308,0.543092,0.629983
31.50707,0.544494,0.62969
31.521,0.545847,0.629439
31.53499,0.547149,0.629237
31.54889,0.548389,0.62907
31.56285,0.54967,0.628908
31.57668,0.551022,0.628719
